index,review_id,review_comment_title,Primary Category,Secondary Category
42564,f66db90f007319ec182d2776253eb11e,Muito Bom,Positive,Positive
42576,cd8283bde32ad44883579ba439f5ea44,Recomendo,Positive,Positive
42590,83f8c39e7592823c8beb9f0a62bb1d55,ótimo ,Positive,Positive
42618,1bd5637bcdd77b9f6a3564ed5e59be80,FOI RÁPIDO A ENTREGA,Delivery,Delivery
42695,1874d1f1ad2955722d508c334551e85c,recomendo,Positive,Positive
42745,535d4c13e60a114bd0a7d1f207fc0126,Bom,Positive,Positive
42781,9e399648150ab8ced0c1f005dc30c22c,super recomendo,Positive,Positive
42810,68b574b8df65951af6daa2d635fd8c6c,Recomendo,Positive,Positive
42820,b54725f62a35e44726d2ba9ce1c51e84,Entrega rápida,Delivery,Delivery
42838,8c4799d2bd4f23b35cf959e0cd301b4d,Produto muito bom.,Positive,Positive
42858,bc63cb9a1b120e9119abeef6c64c4eeb,recomendado,Positive,Positive
42892,9b96c3b8111dfaf0ffc68f00e46f6edf,Ótimo,Positive,Positive
42919,dc7a14d3e1984bfc11b484b841697096,Não quero avaliar,Deffect,Deffect
42941,d29d947b4b26b23eb0725ac8fd3e68ee,Tudo nos conformes,Positive,Positive
42942,46eb7aeb025c80f0949fcb5a24850c3b,super recomendo,Positive,Positive
42945,b94ab0abe83935db76bdabdd1fa9a597,Otima,Missing Items,Missing Items
42953,e7c00b1c357fdd0634f24e247aabf9ab,recomendo,Positive,Positive
42965,81d3ccad03864f17918f714b1f5fa3ca,Excelente ,Positive,Positive
42997,97abe22943dc8beb5827cfc19eebcee2,Bom ,Positive,Positive
43115,d36fe84d27eec5421e4236681c135101,Super recomendo,Positive,Positive
43143,021f2a15daad6d58a00422d72649bb25,Bom loja,Positive,Positive
43145,f815b446699c5364a8703dd69f0bc278,Perfeito,Positive,Positive
43191,f4e41b51d77f4b622190f324f8a609ce,*****,Positive,Positive
43200,ec15150c84cb391fa334a4f9b333c35e,boa,Positive,Positive
43236,d623b5b6529beeba43669fc549a256fb,Recomendo,Positive,Positive
43325,89aadb379f62b27ea618e7aac5f8bf05,super recomendo,Positive,Positive
43437,7d165843ec6a6ff7cc686c72d0399485,bom,Deffect,Deffect
43489,cd6315b70be6dcc8cb46ca929eafc79c,Recomendo,Positive,Positive
43524,e823063c84218ee2832b2d477c4f7a79,Recomendo. muito bom,Positive,Positive
43531,e4e29ac413a8dfa4bfdf4b506463b5ae,Estão de parabéns ,Positive,Positive
43615,f902aa90a9454cd53768df236dbaa199,recomendo,Positive,Positive
43618,098c86ab870d0b9ade1759eb2c4df769,Ótimo ,Positive,Positive
43659,6ddf2d5e32f84d368c44ac16d064dd30,8,Positive,Positive
43662,1d5dbcfa23ddbb9d33851994dce47886,Meu produto foi devolvido,Delivery,Delivery
43677,24a2e43aeb8c54ab5b8722beb3986751,Recomendo,Positive,Positive
43792,80d12211986d8a85ae3ebaef43286475,Dez,Deffect,Deffect
43814,c9270954beb7eba10ca9622c4bc2989f,Gostei,Positive,Positive
43827,23da4878cba26a677d8ac6b84a7da9c0,otimo,Positive,Positive
43836,cd85f692057ef5c4bc4f0dbd4f064173,Bom,Positive,Positive
43859,10ccce2f619c57d5af3f6f4f61ef3785,10,Positive,Positive
43893,151a250753b83b135c450c81b9743436,recomendo,Positive,Positive
43897,48b474d65f18792afbc5a4209ce1789d,Um loja ótima ,Positive,Positive
43925,72f3d8c2b7025a586cfbcd8a5de52142,Recomendo,Positive,Positive
43946,3de10ef6b66da854498c755356afea0b,Ótimo,Positive,Positive
43952,0d9ebf2770dd20fa6a0b650eb2dc3a98,"É O MÁXIMO, SUPER RECOMEN",Missing Items,Missing Items
43979,ce118ab34e42ff5919c0fbf3cc2fdf00,Entrega no prazo ,Delivery,Delivery
44111,b928be3a9fb638f4eea31d7da9ba30e5,ÓTIMO ATENDIMENTO.,Positive,Positive
44119,557334e27f836d41723b5babdcd3817b,8,Positive,Positive
44160,2d3d05dd200128831ff6b7aa8876cb6e,Recomendo,Positive,Positive
44202,d1449896cc149929d0f3b8c1f81c7de0,Recomendo,Positive,Positive
44207,5f35674bae2ec72b4f850974ab52a3bc,tudo certo,Positive,Positive
44221,76ad8ad91a198b40970747632afbdc65,Ótimo muito satisfeito.,Positive,Positive
44238,d91a40cfab1746bdb22004a7f154abd9,Produto fraco,Wrong Item,Wrong Item
44264,33c3327c076ab86a1976e60d897061c1,recomendo,Positive,Positive
44277,c0220d545342682fc3f2f4083d40466e,Adorei,Positive,Positive
44288,d9a6ef93f26f1942dcd7bad95efc88b2,Eu recomendo.,Positive,Positive
44421,2793bf001338ce040ec070f464402339,recomendo,Positive,Positive
44431,8a82511298d02b233295c17efec706c8,Ótimo,Positive,Positive
44437,f64fed293ce75dd6d750a1c92f731885,Ótimo,Positive,Positive
44439,e3dd5c2ef9af61bd5ab252dff8fe348d,Lojas lannister é a melh,Missing Items,Missing Items
44469,7351f1afcd5f6985e33b03e598b22393,Excelente,Positive,Positive
44478,28a9c9e15f85c88c8c1b393bd86306a7,Muito bom o produto,Positive,Positive
44517,f504bbebcd604c5e1933c33d84b8cdd0,Maravilhoso ,Positive,Positive
44574,82fda0e20ccdfd6a32185c1b44af3fbb,recomendo,Positive,Positive
44601,57a4b41102ea19f1615df00bd79d7cf7,Grau incorretp,Deffect,Deffect
44616,38dc266fd3021aa314e4ac7d479a506d,Perfeito,Positive,Positive
44624,74fb55d191e921bed566ad18bccdfc1f,Bom,Positive,Positive
44629,09eaacf3fe6f3098007f062f29e79da1,ótima,Positive,Positive
44665,45b4660cededacb4dc6e6657f05d0734,Perfeito,Positive,Positive
44693,faf57a9057f8a222acf61f50e876f84d,ÓTIMO,Positive,Positive
44705,455f2f8602918d7806f4bc2159527204,boa,Positive,Positive
44708,bacfe13c5929ee4b9eebef83a62a674e,bom,Deffect,Deffect
44731,e3927fc373161d6ea7e323eca362c613,9,Positive,Positive
44736,2ff52d35ba272ecd4ce12441264d4109,10,Positive,Positive
44781,ab686c82979cd8732f416cb75945057d,Excelente ,Positive,Positive
44830,7bf8cbaa4a77a3dec3e1a56741d94389,ótimo ,Positive,Positive
44840,c019fff8ca0b5970822b8930ad1d945b,10 top,Positive,Positive
44852,a4e5e355e96944abe9445294564fbb7e,otimo,Positive,Positive
44854,e5687e3a2711a893f83f4d9edaad6cbe,recomendavel,Positive,Positive
44874,741fbf366efdf09e3701f0350cb7b978,Recomendo,Positive,Positive
44876,7a2bf6a1ee14154e98d290689ed626da,Bom,Positive,Positive
44878,3a49a525bef6be25f535ed4aeb9b4b1a,Recomendo,Positive,Positive
44894,c83323949dacc04eb6debb888959d3bf,Atrasado,Missing Items,Missing Items
44953,4cfc4c68bd7f5a190249621f41d3af60,Nota 10,Positive,Positive
44974,33af8764c06b2e8f7822b43a3e13462d,Tudo ok!,Positive,Positive
45003,d93f325ae03748acb55044eb25f1ae1e,Recebido!,Deffect,Deffect
45042,1b60dc40fd3c780b76808360970a814d,recomendado,Positive,Positive
45118,470504ec6fdad6e55596e4ec980ad92b,10,Positive,Positive
45140,d58e5eaa0249a85a2717dbde350ecab0,recomendo.,Positive,Positive
45162,c0ebc22b4bbbe643fbc5a8498d41c5c5,Media,Delivery,Delivery
45187,9a19c8757f21195f4dd8fecd49317981,Chegou! ,Positive,Positive
45231,ff349f396921a20c66e7a393c6342a3d,Entregas e muito demorada,Delivery,Delivery
45297,bf891d9994a059d6f61946d34ab7aaf9,Ótimo muito ,Positive,Positive
45323,857fe9592b08b17d0066f2ef2e28a4f5,Ok,Positive,Positive
45365,a34e202e3fc6ba283132d42ece7497ed,Bom,Positive,Positive
45433,021598cc88644cee358e5b4496968d94,Satisfatório ,Positive,Positive
45467,1d2accebf50f92584820047b910fee75,super recomendo,Positive,Positive
45567,c493fb21648a68c7f64889b3acd126aa,5 estrelas,Positive,Positive
45642,ed225dd0fb78f5110e966d7b94d6b019,Ótimo ,Positive,Positive
45679,f0d87a15b0be037c307d94ece34235a5,Recomendo,Positive,Positive
45688,9e1d3a569a865ad2ba763466874a7dca,10,Positive,Positive
45719,b452f5a432b649d64dc6d756f97f4713,Boa,Positive,Positive
45736,c0d59da25835eb355eefd01f1900dd3d,Excelente,Positive,Positive
45747,81de81ef5bfeeb8ee91aff67f07be44e,Muuto bom,Wrong Item,Wrong Item
45756,ac09147de9a0cdbc89ab8ca92d1f0c82,"Bom, recomendo!!",Positive,Positive
45865,24d5f50ee937b53019f91b9c5456cddf,Ótimos produto e vendedor,Positive,Positive
45885,ca8448a55ac9c53ce6ea8a919e158d5f,Ótima entrega,Positive,Positive
45992,719e0716e2effb0309f26c9a57906358,Ótimo,Positive,Positive
46075,b881f167cf26b1d50ec23b16accc8a5a,Rápida entrega,Delivery,Delivery
46082,ec12a1dd60fb8cd5f87acfda7689603c,Super recomendo,Positive,Positive
46115,2965519faa89da4943301b38c4cdd483,super recomendado,Positive,Positive
46146,23bc4f774c2b1b9fbf765b5be73f7489,Panos de copa,Missing Items,Missing Items
46280,1099858d380ce886773ca0a89cf8f0cf,Confiável ,Positive,Positive
46316,14b296ce3cde75a35d7760af755fb445,Excelente,Positive,Positive
46336,00ec2e22614a0ce03a2a3c15b718493b,Eu recomendo ,Positive,Positive
46468,0e2023d49b13eebcca2fb73a1332466d,Otimo,Positive,Positive
46483,286c1ba14601b9b94ff412af9f1fe34c,O produto veio bem antes ,Positive,Positive
46503,932d0cd38786aebbba5cbe95fc36740e,10,Positive,Positive
46522,ca0a7a3a0a736118980a8215b26fe35e,Bom,Positive,Positive
46533,e5833bce39dcb98ba164ecfaa7ec6844,Recomendo,Positive,Positive
46542,245b85337d9bbe22fd153bd236dc5031,talvez,Missing Items,Missing Items
46642,97d803f6b06c765f6ec68728097af76e,5,Positive,Positive
46646,f27d2c9be5d1cc4d3a6fdde3d626eb1f,Recomendo,Positive,Positive
46649,9c6b132bbe345b43981456409b618d92,Recomendo.,Positive,Positive
46669,b15e73c53e5dac2a37c9cf423e025d73,recomendo.,Positive,Positive
46685,be09dbe20f12f06d1405334b2b83f3db,super recomendo,Positive,Positive
46700,f25382444395c6e40c7e8500cc6b3d98,Tablet,Missing Items,Missing Items
46764,d0d79186bb29630f9282ee2be37cb5a8,Otimo,Positive,Positive
46885,7d6daa5730f94e9d531495b3678a0509,Otimo,Positive,Positive
46891,b70bdc08f1b26bb7fc113e03bbc636b1,Satisfeito!,Positive,Positive
46915,ae4c3f4cbed615084ed65063fb45ca27,Boa,Positive,Positive
46957,6f253f407faa2e422128f634f07a497c,Produto de qualidade ,Positive,Positive
46977,0db7cf64bd297230b351ee5caf690b01,Estou configurando nest,Positive,Positive
46984,7b364d32fa78263f2b85e41bf4f1a971,sim recomendo,Positive,Positive
47001,bc0f3ecf6d0eadae3a2fbcfd6bda04c7,10,Positive,Positive
47049,3f2e3a983402511c77f7e5d97ca7dea4,Recomendo,Positive,Positive
47153,a5d63487cedbcc5410e01eaecf6d9e82,RECOMENDO,Positive,Positive
47155,a8009516a8d8546a6a328083a58f4d74,Recomendo muito,Positive,Positive
47185,336e679c6ab8ea4df6410711650cce1b,Adorei,Positive,Positive
47218,c75e1a52f511c783a9555f53ba021603,recomendo,Positive,Positive
47231,b2546fa19d1a1c405b5d8ec55bd637fb,excelente,Positive,Positive
47267,8fee400643053de10d3f1862bdc37ae8,Super recomendo! Lindas! ,Positive,Positive
47274,048f378c279edaa2fd310c1e339e896c,Bom,Positive,Positive
47279,80cdb1adacac10ec44c8acfd5c8c9ae0,produto perfeito,Positive,Positive
47338,8eb6c71726a822751d881a639e3e721f,Entregue antes do prazo,Delivery,Delivery
47345,289cfcf755d3bde9f5546f7a578debaf,Bom,Positive,Positive
47359,33e53bc0402f112d5bcdca2453237809,Como ser profissional ,Company,Company
47418,3e07b53ce68915f2a9408444033fc1e2,Atendeu as expectativas,Delivery,Delivery
47422,f855358c4cb42c21936a9785ee470c42,RECOMENDO,Positive,Positive
47474,626fa5a1ed2b8d9da7e0cfad7d7ab44a,Ótimo ,Positive,Positive
47478,6cd30f639cad8e3b6fdfd6f3cabe93db,Excelente o produto amei ,Positive,Positive
47479,64e8c47c447d18c8f613228817b9a62a,O produto não foi entregu,Missing Items,Missing Items
47499,5a210f7b98573344874309b7d89780dd,Entrega rapida,Delivery,Delivery
47544,51f6b82ba7e6cc4f98e2f006b8ce6c98,Excelente!,Positive,Positive
47586,c4d76b0e260fd092083b9bdf3324b40d,Recomendo.,Positive,Positive
47615,84fe7978e6915d70e5ec35a7182eed7b,recomendo,Positive,Positive
47624,b97deb3eddbb0cdb6d923e1bc49e5a6c,super recomendo,Positive,Positive
47642,cb8d6ef0afca8c6875f8a4da9eca30f5,Excelente atendimento,Positive,Positive
47683,0f4a68027cad35f875debb4fa1e5d1ca,recomendo,Positive,Positive
47700,e5e130e83b3688f381929457c3798ead,surper recomendado,Positive,Positive
47749,e6716e20eba77a05eeaf3fa17dc721f3,fone ótimo,Positive,Positive
47780,fe580d9142b98ec8cb20cdec70992474,Ótima ,Positive,Positive
47814,9e9804e5cdb4ba2e2631f862630e71c8,Excelente ,Positive,Positive
47818,e49eaa1394e2ad7da2a0e20b48830ece,Linda maravilhosa amei! ,Positive,Positive
47822,907b6357036c1e0117fb101a2436c888,ótimo,Positive,Positive
47823,34fb44a65a0993a8807dc6bfd62cfb6a,*****,Positive,Positive
47848,e9df3e42fe1db9e9ac1bf40f305c1a06,Bom,Positive,Positive
47849,e83150d2f778228ed0505204a03761df,Gostei ,Positive,Positive
47851,ec776692ca0536ccccb8d974db8c8b26,Excelente Compra,Positive,Positive
47852,6593682d3c7605c4e301a1e369e67f26,Loja confiável parabéns.,Positive,Positive
47896,9b8e9d6beaee90c1e464d46badb4c2a2,10,Positive,Positive
47921,7d2cdefbfea80ad808dbd67f8ba966cb,super recomendo,Positive,Positive
47930,fc906850133b4a339e3aad7b79dbfa7a,Não recebi até 28/04/20,Delivery,Delivery
47987,fae86a6d122dd86d1a5e1eefce122d61,Nota 10,Positive,Positive
48008,3fcdd491a910ab6408067bf651ba7210,É muito fraco.,Deffect,Deffect
48033,a43792f9d3dc4d3e00449185b510bce6,Atendimento excelente.,Positive,Positive
48042,89f9126a67b7d1d2db75a0da8176906b,não recebi o produto,Missing Items,Missing Items
48069,9a0ccfb069381e882988c3ad7f0d6da5,ótima,Positive,Positive
48071,4f3f5e102c2c504b613cf5e11f3a1437,Ótima compra,Positive,Positive
48083,ea06213fafdcc76cc3bd0ce40cf5bb7d,Não recebi e foi cancelaf,Deffect,Deffect
48142,fdbbc717539a2f6a9f6d46acbf32d8db,Excelente produto e loja,Positive,Positive
48240,afe8ef5f2354fa2822ba948426896fdb,Adorei,Positive,Positive
48370,d4786012e4b44f685b81a66ee263ddde,Não recebi todos os produ,Missing Items,Missing Items
48397,a9ff8e172b2035fbcd87a5a2fc23bd2d,super recomendo,Positive,Positive
48398,0a86727eced5792426720df56416a8e0,Não tem manual de uso ,Missing Items,Missing Items
48411,10db09713914ff8f43e9275857ed516a,10,Positive,Positive
48413,7b31310941950c126841ab850fd9e9df,Excelente,Positive,Positive
48415,7cd58112588284414f0da9e739b08ba1,Muito bom,Positive,Positive
48460,b06dd26be067ab1544a343ad51444259,boa,Positive,Positive
48467,a94565a53d68aa6f1926e3cca7bcb868,Produto confiável,Positive,Positive
48469,61815e2dbb00bba5fe76404c7a409af2,Ótima aparência,Positive,Positive
48478,6be662e5ff78f2dafc2b2fce09dcd104,Caixa transportada parc c,Delivery,Delivery
48566,2e64ca992455e3a3185cb80f77e9314f,Recomendo,Positive,Positive
48571,dfb1308fd45f441761ea7beb405b9fc2,muito bom,Positive,Positive
48616,454cc4e761d9e86bf492160e63e5e81c,Otima,Missing Items,Missing Items
48728,6a3fba82de14232496691b56554a7cc9,Ótimo,Positive,Positive
48729,88139f69c472f01f8cd130fbbf9020ad,bom,Deffect,Deffect
48734,96d1a70ba90d4f912c52d9faa8d608b2,super recomendo,Positive,Positive
48780,3ce385c1754d511a9ec689ff5bc2ddaa,Muito bom,Positive,Positive
48819,6a3fba82de14232496691b56554a7cc9,Ótimo,Positive,Positive
48834,6f2bd0d18fa0784b5ee16b1d6c8d41c4,Bom,Positive,Positive
48849,d744754b5ffe0f178bea292557ecb32c,muito bom,Positive,Positive
48924,5bd89d42c323bfe44c075da06f9a16cd,Super recomendo,Positive,Positive
48930,9c5896eab584422a7f679b658edaf0a8,Veio certo,Positive,Positive
48956,765bffaf3e9e7b0a0983a0725e4cc964,Produto bom,Positive,Positive
48990,ca028d3fececc1734938b253a7b5c83a,recomendo,Positive,Positive
49067,0a56100af9babb97ce7c109b3b9592ec,Recomendo,Positive,Positive
49089,be09c3eba0a43ebabc989aec8cc7c745,Ótimo,Positive,Positive
49092,94742cdb8b73b2722191ca1d00e8a5b7,Leitor de DVD ,Positive,Positive
49164,da2b00221ae1dce6c0e865af9fc30313,ENTREGA SUPER RAPIDA,Delivery,Delivery
49178,fa3ddc109fb3fa46e249823be685ac4f,Recomendo,Positive,Positive
49182,922080cc90371278d1bcff6748b0f136,Compre com confiança.,Positive,Positive
49243,b472cf6fc316f31c27a25a0395d2ed89,Bom,Positive,Positive
49302,3a39b187179701940e55947d985554dd,Bom,Positive,Positive
49325,efb829bf35cf0b7ce4e225788a9ce685,Excelente!!,Positive,Positive
49368,92b9774992814a228660d86ad3555d79,super recomendo,Positive,Positive
49370,578c2a274321c114a6adb7119f8e0c7d,Excelente Compra,Positive,Positive
49388,1904e1eb21662b01e4ae1ba1de804c6e,Ótimo ,Positive,Positive
49416,5dc96dfd9c8499bb5c4e450e3f8fbedf,Entrega foi rapida,Delivery,Delivery
49425,53ea1163bb12f3297852acc34db2c0c2,hiper,Positive,Positive
49442,e4fb49206421f3fc2eb298833ac6474e,sensacional ,Positive,Positive
49514,5a11efe5029ccd1a8da4a010acc5a835,Boa,Positive,Positive
49535,d7d56380548912190ba3b62a868d3c46,Ótimo ,Positive,Positive
49558,a2ac4221870e9c8bdf6976817df6d5fe,Quero devolve-lo,Delivery,Delivery
49608,6196a65cd64d5b35b1168f4e92776251,*****,Positive,Positive
49621,7930a67c1c282a84294e361034b02649,Excelente,Positive,Positive
49627,90123a2dfaa2c74f5d934a3b321c3388,Excelente ,Positive,Positive
49724,95933681bc9cbbac812c6854e155f2e2,Aparentemente promete ,Positive,Positive
49839,9196b299bcea0ac9f6cb860cfec3f369,Entrega de produto.,Delivery,Delivery
49875,04506dcd52be542ba215ae2f80ca14a5,super recomendo,Positive,Positive
49876,c53afe0cb3e0d2f7eeabbeda73bf8ee9,RECOMENDO,Positive,Positive
49878,0e6937fe4e203a6ec804b9628cae6c1a,"Excelente, recomendo",Positive,Positive
49937,6f87568686afcaa64f3890bc1a9a2d82,Excelente trabalho ,Positive,Positive
50020,968dc5dce4d6038b9f00f3987169237e,recomendo,Positive,Positive
50063,48c1c7966339b7b6e9a7fd5c91639be6,Muito bom o atendimento,Positive,Positive
50067,0d2bbe5c9fbbf954e7af691c2ad49001,otimo,Positive,Positive
50109,0805877814d21553fef2d93bc72bb6a3,Entrega super rapida!,Delivery,Delivery
50164,e7b322f782465c2850235d59657a32eb,Ok,Positive,Positive
50189,65427c6f16460ec95ce585302d8a1e99,Muito bom,Positive,Positive
50207,ad77949d94f6798d26404c745b35982c,otimo,Positive,Positive
50222,20c24b3254fd747697f21e1de8875e7e,Satisfatória,Positive,Positive
50223,a5a5abfdd989074bf4f611ece18391c7,recomendo,Positive,Positive
50285,9ccd7408745b44722ff40eef4956feaa,Otimo,Positive,Positive
50309,b3eac0e2f10dbde44791b174962401e1,Otimo,Positive,Positive
50322,96d5410332c9cf52b476c5ac753365d0,Boa,Positive,Positive
50367,16a10a6e7f1a179e5cf598f4ce316ff5,nota 10,Positive,Positive
50401,9ce20c12c095b59ba7ee49f6d08626e2,recomendada,Positive,Positive
50403,3ee3a4da9a7cd58f28802e6de324929d,recomendo,Positive,Positive
50437,266a4985607bab3e70d2c74c7cef2e68,recomendo sim,Positive,Positive
50551,10ebe2151e9a775e56bf6d80c1955f30,Excelente!,Positive,Positive
50591,96b2ae186adb38ee4a8fb6395ec511b1,lannister é nota 10!,Positive,Positive
50618,3057e04567f955200d14e5c496eddb87,Super recomendado,Positive,Positive
50644,6365c7d08856da86719b21d414691ee5,recomendo,Positive,Positive
50654,f23be80df3acedb8a444a0283abe8897,Boa,Positive,Positive
50690,0f4045d1dd58a3cd6f5a85a932697c35,Boa,Positive,Positive
50730,375bd9357a1eeef2915d90c23c249818,Amei,Positive,Positive
50743,677b7db4d63170fe5adf8fbe686610c1,Recomendo,Positive,Positive
50780,9a02c3985d8f0d0158bdbaf788edff25,Gostei bastante ,Positive,Positive
50815,c557aefa30d1042cd3f49fe9d6a2f265,boa.,Positive,Positive
50874,204dc2f7201ed4a42728e462ae6d47cd,Super recomendo,Positive,Positive
50919,2d42213ba7e168b249383b108c2f6262,Bom para ter,Positive,Positive
50922,5b85cacc60c5ffd2dadbf55ba3b335af,Recomendo,Positive,Positive
51023,9c477c830bdee95fa9dcd6c33cb04885,Bom,Positive,Positive
51036,ab17ae0c17d13e6f833a8300c56bb966,Entrega rápida,Delivery,Delivery
51051,b9ff71cbef56e403227739cc0fed5427,Super recomendo,Positive,Positive
51077,ad6effce0cc3ff7f518ff49f017aab76,ótimo,Positive,Positive
51122,b951471e5994b3d65c0cc5fb47aea0b1,10,Positive,Positive
51137,ed94d5cca701d5181fef2097e0d84e9c,Ótima ,Positive,Positive
51143,fe8454401f5f0282a169cf73115c4c85,Otimo,Positive,Positive
51164,eeeae58063ca45647b6941609b43b027,Avaliação.,Others,Others
51208,db84a3d65c7a4a1a889e5c717d077d21,Satisfação ,Positive,Positive
51210,e8c71ad8cbf4574d2cd7eae23a59ad5e,super recomendado,Positive,Positive
51261,204f87d614d0abcccfba8cc0bbff673e,Recomendaria mas com resa,Others,Others
51263,3660aa21e05278ba51b046f20548fb96,Tudo certo ;),Positive,Positive
51269,bfaee760a4db1f7a52e42f2f3fd52d0d,Excelente.,Positive,Positive
51271,d855e2bc61da193168076e4d71e4a766,Recomendado,Positive,Positive
51368,76b807bf684ce187fe07524813da742a,produto não entregue,Missing Items,Missing Items
51408,5b82ea8fd8c58ff0c0078c1a1a96621c,Super recomendado,Positive,Positive
51427,343041791fe004d40d916c489687ba34,Excelente,Positive,Positive
51451,8d643c2aa8ec732f265afac9af12c3d0,Entrega rápida,Delivery,Delivery
51453,5ae5cf1adb6073458e79e91afbbc5cd1,Recomendo,Positive,Positive
51466,0ea235f1b16cb4125b7ac4e407fccc70,recomendo,Positive,Positive
51531,9971f68b4097675f5372e08604822cfa,Ótimo produto!,Positive,Positive
51571,147bfa75ba03c925f4a137fd2e14c8f6,Recomendo,Positive,Positive
51587,799a10d8175094e6c6c190220c7dcf98,5,Positive,Positive
51591,63b214a48533cced87a250b56c541d01,otimo,Positive,Positive
51709,af64d2317435834b89df09ceea920d98,bom,Deffect,Deffect
51738,57243031612bff1f8dacfc5f0368fec5,Otimo,Positive,Positive
51793,1689b682b938914bd9aebe4409213a23,Ótimo ,Positive,Positive
51796,9ee445208faab030c9ac1c1189a18379,Entrega antes do prazo!,Delivery,Delivery
51803,1d6d2b2bbc7e8f853c4cdd807cee6796,rapido e correto,Positive,Positive
51851,cda72dd25899ace30bfc26d4ee058f66,Ótimo ,Positive,Positive
51930,4a48e6842081aa67bd35bc2850ede3aa,Ótima,Positive,Positive
